AGRESSION_WAR_LIBERATE_NAME;$ORDER$$COUNTRY$ 해방 전쟁;;;;;;;;;;;;;;
CANT_COLONIZE;[SUB_A7]R식민화 불가능:[SUB_A7]W;;;;;;;;;;;;;
COLONIZE_LAST_INVESTMENT;이미 해당 지방에 투자했습니다. 다음 투자는 [SUB_A7]Y$DATE$[SUB_A7]W 이후부터 가능합니다.;;;;;;;;;;;;;
COLONY_INVEST_COST;투자비: [SUB_A7]Y$COST$[SUB_A7]W 식민력;;;;;;;;;;;;;
COLONY_INVEST_COST_LACK;투자비: [SUB_A7]Y$COST$[SUB_A7]W 식민력;;;;;;;;;;;;;
COLONIAL_INVESTMENT;현재 투자 식민력: [SUB_A7]R$VALUE$[SUB_A7]W;;;;;;;;;;;;;
COLONIAL_MAINTENANCE;유지에 필요한 식민력: [SUB_A7]R$VALUE$[SUB_A7]W;;;;;;;;;;;;;
AVAILABLE_COLONIAL_POWER;사용 가능: [SUB_A7]Y$VALUE$[SUB_A7]W;;;;;;;;;;;;;
PW_PROTECTORATE;보호령;;;;;;;;;;;;;
D01;$REGION$ 왕국;;;;;;;;;;;;;
D01_ADJ;$REGION$령;;;;;;;;;;;;;
D02;$REGION$ 연합국;;;;;;;;;;;;;
D02_ADJ;$REGION$령;;;;;;;;;;;;;
D03;$REGION$ 연합;;;;;;;;;;;;;
D03_ADJ;$REGION$령;;;;;;;;;;;;;
D04;$REGION$ 공화국;;;;;;;;;;;;;
D04_ADJ;$REGION$령;;;;;;;;;;;;;
D05;$REGION$국;;;;;;;;;;;;;
D05_ADJ;$REGION$령;;;;;;;;;;;;;
D06;$REGION$ 인민공화국;;;;;;;;;;;;;
D06_ADJ;$REGION$령;;;;;;;;;;;;;
D07;$REGION$ 자유국;;;;;;;;;;;;;
D07_ADJ;$REGION$령;;;;;;;;;;;;;
D08;대$REGION$국;;;;;;;;;;;;;
D08_ADJ;$REGION$령;;;;;;;;;;;;;
D09;$REGION$국;;;;;;;;;;;;;
D09_ADJ;$REGION$령;;;;;;;;;;;;;
D10;$REGION$ 공국;;;;;;;;;;;;;
D10_ADJ;$REGION$령;;;;;;;;;;;;;
D11;$REGION$ 민주공화국;;;;;;;;;;;;;
D11_ADJ;$REGION$령;;;;;;;;;;;;;
D12;$REGION$ 연합;;;;;;;;;;;;;
D12_ADJ;$REGION$령;;;;;;;;;;;;;
D13;대$REGION$ 왕국;;;;;;;;;;;;;
D13_ADJ;$REGION$령;;;;;;;;;;;;;
D14;$REGION$ 자치령;;;;;;;;;;;;;
D14_ADJ;$REGION$령;;;;;;;;;;;;;
D15;$REGION$ 대공국;;;;;;;;;;;;;
D15_ADJ;$REGION$령;;;;;;;;;;;;;
D16;$REGION$ 국가;;;;;;;;;;;;;
D16_ADJ;$REGION$령;;;;;;;;;;;;;
D17;$REGION$ 공화국 연방;;;;;;;;;;;;;
D17_ADJ;$REGION$령;;;;;;;;;;;;;
D18;$REGION$ 합중국;;;;;;;;;;;;;
D18_ADJ;$REGION$령;;;;;;;;;;;;;
D19;$REGION$ 민주합중국;;;;;;;;;;;;;
D19_ADJ;$REGION$령;;;;;;;;;;;;;
D20;$REGION$ 공작령;;;;;;;;;;;;;
D20_ADJ;$REGION$령;;;;;;;;;;;;;
D21;$REGION$ 연합;;;;;;;;;;;;;
D21_ADJ;$REGION$령;;;;;;;;;;;;;
D22;$REGION$ 민주주의인민공화국;;;;;;;;;;;;;
D22_ADJ;$REGION$령;;;;;;;;;;;;;
D23;$REGION$ 지역;;;;;;;;;;;;;
D23_ADJ;$REGION$령;;;;;;;;;;;;;
D24;영광스러운 $REGION$ 연합;;;;;;;;;;;;;
D24_ADJ;$REGION$령;;;;;;;;;;;;;
D25;웅장한 $REGION;;;;;;;;;;;;;
D25_ADJ;$REGION$령;;;;;;;;;;;;;
D26;$REGION$ 자유국;;;;;;;;;;;;;
D26_ADJ;$REGION$령;;;;;;;;;;;;;
D27;$REGION$ 국가연합;;;;;;;;;;;;;
D27_ADJ;$REGION$령;;;;;;;;;;;;;
D28;$REGION$ 연합국;;;;;;;;;;;;;
D28_ADJ;$REGION$령;;;;;;;;;;;;;
D29;$REGION$ 자유인민국;;;;;;;;;;;;;
D29_ADJ;$REGION$령;;;;;;;;;;;;;
D30;$REGION$ 공화국;;;;;;;;;;;;;
D30_ADJ;$REGION$령;;;;;;;;;;;;;
D31;$REGION$ 신성동맹;;;;;;;;;;;;;
D31_ADJ;$REGION$령;;;;;;;;;;;;;
D32;$REGION$ 인민동맹;;;;;;;;;;;;;
D32_ADJ;$REGION$령;;;;;;;;;;;;;
D33;$REGION$ 연방국;;;;;;;;;;;;;
D33_ADJ;$REGION$령;;;;;;;;;;;;;
D34;$REGION$ 연방국;;;;;;;;;;;;;
D34_ADJ;$REGION$령;;;;;;;;;;;;;
D35;$REGION$ 연합국령;;;;;;;;;;;;;
D35_ADJ;$REGION$령;;;;;;;;;;;;;
D36;$REGION$ 연방;;;;;;;;;;;;;
D36_ADJ;$REGION$령;;;;;;;;;;;;;
D37;경건한 $REGION$국;;;;;;;;;;;;;
D37_ADJ;$REGION$령;;;;;;;;;;;;;
D38;$REGION$ 지방;;;;;;;;;;;;;
D38_ADJ;$REGION$령;;;;;;;;;;;;;
D39;가장 고귀한 $REGION$ 공화국;;;;;;;;;;;;;
D39_ADJ;$REGION$령;;;;;;;;;;;;;
D40;$REGION$ 비밀왕국;;;;;;;;;;;;;
D40_ADJ;$REGION$령;;;;;;;;;;;;;
D41;$REGION$ 코뮌;;;;;;;;;;;;;
D41_ADJ;$REGION$령;;;;;;;;;;;;;
D42;$REGION$ 코뮌;;;;;;;;;;;;;
D42_ADJ;$REGION$령;;;;;;;;;;;;;
D43;$REGION$ 노동자연합;;;;;;;;;;;;;
D43_ADJ;$REGION$령;;;;;;;;;;;;;
D44;$REGION$ 방백국;;;;;;;;;;;;;
D44_ADJ;$REGION$령;;;;;;;;;;;;;
D45;$REGION$ 국가;;;;;;;;;;;;;
D45_ADJ;$REGION$령;;;;;;;;;;;;;
D46;신성$REGION$;;;;;;;;;;;;;
D46_ADJ;$REGION$령;;;;;;;;;;;;;
D47;$REGION$ 자치령;;;;;;;;;;;;;
D47_ADJ;$REGION$령;;;;;;;;;;;;;
D48;$REGION$ 인민국;;;;;;;;;;;;;
D48_ADJ;$REGION$령;;;;;;;;;;;;;
D49;$REGION$ 지고왕국;;;;;;;;;;;;;
D49_ADJ;$REGION$령;;;;;;;;;;;;;
D50;$REGION$ 소공국;;;;;;;;;;;;;
D50_ADJ;$REGION$령;;;;;;;;;;;;;
dominion_conservative;보수당;;;;;;;;;;;;;
dominion_reactionary;구위대;;;;;;;;;;;;;
dominion_liberal;자유당;;;;;;;;;;;;;
dominion_anarcho_liberal;자유당;;;;;;;;;;;;;
dominion_socialist;사회당;;;;;;;;;;;;;
dominion_communist;공산당;;;;;;;;;;;;;
dominion_fascist;제국당;;;;;;;;;;;;;
PW_UPGRADE_TO_COLONY;클릭해 식민지로 승격합니다. 식민지로 승격하려면 식민력이 [SUB_A7]Y$VALUE$[SUB_A7]W 필요합니다.;;;;;;;;;;;;;
PW_CANT_UPGRADE_TO_COLONY;식민력을 [SUB_A7]R$VALUE$[SUB_A7]W 소모해 식민주로 승격하고 있습니다.;;;;;;;;;;;;;
PW_CANT_UPGRADE_TO_STATE;식민력을 [SUB_A7]R$VALUE$[SUB_A7]W 소모해 주로 통합하고 있습니다.;;;;;;;;;;;;;
CREATE_DOMINION;자치령 해방;;;;;;;;;;;;;
CANT_CREATE_PROTECTORATE_COST;보호령을 설립하려면 식민력이 [SUB_A7]R$VALUE$[SUB_A7]W 필요합니다.;;;;;;;;;;;;;
torpedo_attacks_desc;어뢰는 폭발성 탄두를 탑재한 자주식 무기로 수면 위아래에서 발사하면 목표물을 향해 수중으로 추진하며 목표물과 접촉하거나 근접해 폭발하도록 설계됩니다. 작은 군함에서 발사하는 어뢰는 심지어 최대급 군함에도 치명적일 수 있습니다.;;;;;;;;;;;;;
